#### Simulations (1)
# BOT[0].botPosition[0] #1
0.0 19.0
0.0 19.0
485.3746141445748 19.0
486.5944986662292 17.0
486.5944986662292 17.0
487.8144986662281 16.0
487.8144986662281 16.0
489.3746141445714 16.0
490.5944986662258 15.0
490.5944986662258 15.0
503.3746141445594 15.0
504.5946141445584 13.0
504.5946141445584 13.0
505.8146141445573 12.0
505.8146141445573 12.0
507.0346141445563 11.0
507.0346141445563 11.0
508.2553128117363 10.0
508.2553128117363 10.0
509.4746141445542 8.0
509.4746141445542 8.0
510.6946141445532 7.0
510.6946141445532 7.0
511.9146141445521 6.0
511.9146141445521 6.0
513.134614144551 5.0
513.134614144551 5.0
514.3481413164944 4.0
514.3481413164944 4.0
515.5646141445488 2.0
515.5646141445488 2.0
620.3746141444537 2.0
621.5894042102908 1.0
621.5894042102908 1.0
712.3746141443804 1.0
713.5895852352875 0.0
713.5895852352875 0.0
817.4373568801032 0.0
818.657356880102 2.0
818.657356880102 2.0
819.8689386855496 3.0
819.8689386855496 3.0
821.0889386855483 4.0
821.0889386855483 4.0
822.301063634713 5.0
822.301063634713 5.0
823.5173568800974 7.0
823.5173568800974 7.0
824.728938685545 8.0
824.728938685545 8.0
825.9489386855439 9.0
825.9489386855439 9.0
827.1689386855428 10.0
827.1689386855428 10.0
828.3810636347075 11.0
828.3810636347075 11.0
829.5989386855406 13.0
829.5989386855406 13.0
830.8189386855395 14.0
830.8189386855395 14.0
832.0389386855384 15.0
832.0389386855384 15.0
843.4373568800794 15.0
844.6489386855269 16.0
844.6489386855269 16.0
846.4373568800767 16.0
847.6489386855242 18.0
847.6489386855242 18.0
848.8689386855231 19.0
848.8689386855231 19.0
897.3483746972685 19.0
898.5689386854827 17.0
898.5689386854827 17.0
899.7889386854816 16.0
899.7889386854816 16.0
901.0089386854805 15.0
901.0089386854805 15.0
902.2266085739824 14.0
902.2266085739824 14.0
903.4395852351194 12.0
903.4395852351194 12.0
906.3483746972603 12.0
907.5689386854746 11.0
907.5689386854746 11.0
919.3483746972485 11.0
920.5689386854627 9.0
920.5689386854627 9.0
921.7889386854616 8.0
921.7889386854616 8.0
923.0089386854605 7.0
923.0089386854605 7.0
924.2266085739624 6.0
924.2266085739624 6.0
925.4395852350993 5.0
925.4395852350993 5.0
947.3483746972231 5.0
948.5689386854374 4.0
948.5689386854374 4.0
1075.348374697106 4.0
1076.568938685321 3.0
1076.568938685321 3.0
1220.348374696974 3.0
1221.568938685188 2.0
1221.568938685188 2.0
1309.348374696872 2.0
1310.56837469687 1.0
1310.56837469687 1.0
1429.348374696749 1.0
1430.568374696748 0.0
1430.568374696748 0.0
1536.393721330288 0.0
1537.608156281259 2.0
1537.608156281259 2.0
1538.826706739489 3.0
1538.826706739489 3.0
1540.042748851822 4.0
1540.042748851822 4.0
1541.258879868711 5.0
1541.258879868711 5.0
1542.475976845706 7.0
1542.475976845706 7.0
1543.688156281255 8.0
1543.688156281255 8.0
1544.906706739485 9.0
1544.906706739485 9.0
1546.123849799058 10.0
1546.123849799058 10.0
1547.334804504426 11.0
1547.334804504426 11.0
1557.393721330274 11.0
1558.608156281245 12.0
1558.608156281245 12.0
1559.826706739475 13.0
1559.826706739475 13.0
1561.042748851808 14.0
1561.042748851808 14.0
1562.258879868697 15.0
1562.258879868697 15.0
1563.47372133027 17.0
1563.47372133027 17.0
1564.688156281241 18.0
1564.688156281241 18.0
1565.906706739471 19.0
1565.906706739471 19.0
1570.47748136778 19.0
1571.698156281236 18.0
1571.698156281236 18.0
1577.477481367775 18.0
1578.698156281231 17.0
1578.698156281231 17.0
1586.477481367769 17.0
1587.698156281225 15.0
1587.698156281225 15.0
1588.916706739455 14.0
1588.916706739455 14.0
1590.133849799028 13.0
1590.133849799028 13.0
1591.344804504396 12.0
1591.344804504396 12.0
1592.557481367765 10.0
1592.557481367765 10.0
1593.778156281221 9.0
1593.778156281221 9.0
1594.992748851785 8.0
1594.992748851785 8.0
1596.208879868673 7.0
1596.208879868673 7.0
1634.477481367729 7.0
